field_id,year,crop_code,crop_name,valid_pixel_count,dominant_pixel_count,dominant_pct,extraction_method,csb_annual_cdl_code,matches_csb_annual_cdl,raster_source_url,raster_sha256
451623001001295,2021,176,Grassland/Pasture,13,8,61.538462,rasterio.mask; pixel-center (all_touched=False); zero/nodata excluded,176,True,https://nassgeodata.gmu.edu/webservice/nass_data_cache/byfips/CDL_2021_45001.tif,f44ea25d24ef88013aa2d8a421a5af2878e9b5979e15ab55e3823485b95fd533
451623001001299,2021,176,Grassland/Pasture,22,14,63.636364,rasterio.mask; pixel-center (all_touched=False); zero/nodata excluded,176,True,https://nassgeodata.gmu.edu/webservice/nass_data_cache/byfips/CDL_2021_45001.tif,f44ea25d24ef88013aa2d8a421a5af2878e9b5979e15ab55e3823485b95fd533
451623001001160,2022,37,Other Hay/Non Alfalfa,22,11,50.0,rasterio.mask; pixel-center (all_touched=False); zero/nodata excluded,37,True,https://nassgeodata.gmu.edu/webservice/nass_data_cache/byfips/CDL_2022_45001.tif,fa5ac1c272510e58ef3d9689a9d922249b265ecb231adc9eaa8a639c71bbfb3c
451623001001187,2022,176,Grassland/Pasture,13,8,61.538462,rasterio.mask; pixel-center (all_touched=False); zero/nodata excluded,176,True,https://nassgeodata.gmu.edu/webservice/nass_data_cache/byfips/CDL_2022_45001.tif,fa5ac1c272510e58ef3d9689a9d922249b265ecb231adc9eaa8a639c71bbfb3c
451623001001196,2022,37,Other Hay/Non Alfalfa,84,49,58.333333,rasterio.mask; pixel-center (all_touched=False); zero/nodata excluded,37,True,https://nassgeodata.gmu.edu/webservice/nass_data_cache/byfips/CDL_2022_45001.tif,fa5ac1c272510e58ef3d9689a9d922249b265ecb231adc9eaa8a639c71bbfb3c
451623001001204,2022,176,Grassland/Pasture,15,9,60.0,rasterio.mask; pixel-center (all_touched=False); zero/nodata excluded,176,True,https://nassgeodata.gmu.edu/webservice/nass_data_cache/byfips/CDL_2022_45001.tif,fa5ac1c272510e58ef3d9689a9d922249b265ecb231adc9eaa8a639c71bbfb3c
451623001001218,2022,37,Other Hay/Non Alfalfa,27,14,51.851852,rasterio.mask; pixel-center (all_touched=False); zero/nodata excluded,37,True,https://nassgeodata.gmu.edu/webservice/nass_data_cache/byfips/CDL_2022_45001.tif,fa5ac1c272510e58ef3d9689a9d922249b265ecb231adc9eaa8a639c71bbfb3c
451623001001219,2022,176,Grassland/Pasture,20,20,100.0,rasterio.mask; pixel-center (all_touched=False); zero/nodata excluded,176,True,https://nassgeodata.gmu.edu/webservice/nass_data_cache/byfips/CDL_2022_45001.tif,fa5ac1c272510e58ef3d9689a9d922249b265ecb231adc9eaa8a639c71bbfb3c
451623001001224,2022,176,Grassland/Pasture,20,13,65.0,rasterio.mask; pixel-center (all_touched=False); zero/nodata excluded,176,True,https://nassgeodata.gmu.edu/webservice/nass_data_cache/byfips/CDL_2022_45001.tif,fa5ac1c272510e58ef3d9689a9d922249b265ecb231adc9eaa8a639c71bbfb3c
451623001001231,2022,176,Grassland/Pasture,17,12,70.588235,rasterio.mask; pixel-center (all_touched=False); zero/nodata excluded,176,True,https://nassgeodata.gmu.edu/webservice/nass_data_cache/byfips/CDL_2022_45001.tif,fa5ac1c272510e58ef3d9689a9d922249b265ecb231adc9eaa8a639c71bbfb3c
451623001001238,2022,176,Grassland/Pasture,11,6,54.545455,rasterio.mask; pixel-center (all_touched=False); zero/nodata excluded,176,True,https://nassgeodata.gmu.edu/webservice/nass_data_cache/byfips/CDL_2022_45001.tif,fa5ac1c272510e58ef3d9689a9d922249b265ecb231adc9eaa8a639c71bbfb3c
451623001001243,2022,176,Grassland/Pasture,27,23,85.185185,rasterio.mask; pixel-center (all_touched=False); zero/nodata excluded,176,True,https://nassgeodata.gmu.edu/webservice/nass_data_cache/byfips/CDL_2022_45001.tif,fa5ac1c272510e58ef3d9689a9d922249b265ecb231adc9eaa8a639c71bbfb3c
451623001001248,2022,176,Grassland/Pasture,18,10,55.555556,rasterio.mask; pixel-center (all_touched=False); zero/nodata excluded,176,True,https://nassgeodata.gmu.edu/webservice/nass_data_cache/byfips/CDL_2022_45001.tif,fa5ac1c272510e58ef3d9689a9d922249b265ecb231adc9eaa8a639c71bbfb3c
451623001001250,2022,37,Other Hay/Non Alfalfa,59,51,86.440678,rasterio.mask; pixel-center (all_touched=False); zero/nodata excluded,37,True,https://nassgeodata.gmu.edu/webservice/nass_data_cache/byfips/CDL_2022_45001.tif,fa5ac1c272510e58ef3d9689a9d922249b265ecb231adc9eaa8a639c71bbfb3c
451623001001251,2022,176,Grassland/Pasture,20,11,55.0,rasterio.mask; pixel-center (all_touched=False); zero/nodata excluded,176,True,https://nassgeodata.gmu.edu/webservice/nass_data_cache/byfips/CDL_2022_45001.tif,fa5ac1c272510e58ef3d9689a9d922249b265ecb231adc9eaa8a639c71bbfb3c
451623001001257,2022,37,Other Hay/Non Alfalfa,85,68,80.0,rasterio.mask; pixel-center (all_touched=False); zero/nodata excluded,37,True,https://nassgeodata.gmu.edu/webservice/nass_data_cache/byfips/CDL_2022_45001.tif,fa5ac1c272510e58ef3d9689a9d922249b265ecb231adc9eaa8a639c71bbfb3c
451623001001258,2022,37,Other Hay/Non Alfalfa,41,27,65.853659,rasterio.mask; pixel-center (all_touched=False); zero/nodata excluded,37,True,https://nassgeodata.gmu.edu/webservice/nass_data_cache/byfips/CDL_2022_45001.tif,fa5ac1c272510e58ef3d9689a9d922249b265ecb231adc9eaa8a639c71bbfb3c
451623001001259,2022,176,Grassland/Pasture,19,14,73.684211,rasterio.mask; pixel-center (all_touched=False); zero/nodata excluded,176,True,https://nassgeodata.gmu.edu/webservice/nass_data_cache/byfips/CDL_2022_45001.tif,fa5ac1c272510e58ef3d9689a9d922249b265ecb231adc9eaa8a639c71bbfb3c
451623001001261,2022,176,Grassland/Pasture,20,10,50.0,rasterio.mask; pixel-center (all_touched=False); zero/nodata excluded,176,True,https://nassgeodata.gmu.edu/webservice/nass_data_cache/byfips/CDL_2022_45001.tif,fa5ac1c272510e58ef3d9689a9d922249b265ecb231adc9eaa8a639c71bbfb3c
451623001001262,2022,37,Other Hay/Non Alfalfa,73,34,46.575342,rasterio.mask; pixel-center (all_touched=False); zero/nodata excluded,176,False,https://nassgeodata.gmu.edu/webservice/nass_data_cache/byfips/CDL_2022_45001.tif,fa5ac1c272510e58ef3d9689a9d922249b265ecb231adc9eaa8a639c71bbfb3c
451623001001264,2022,176,Grassland/Pasture,25,17,68.0,rasterio.mask; pixel-center (all_touched=False); zero/nodata excluded,176,True,https://nassgeodata.gmu.edu/webservice/nass_data_cache/byfips/CDL_2022_45001.tif,fa5ac1c272510e58ef3d9689a9d922249b265ecb231adc9eaa8a639c71bbfb3c
451623001001266,2022,176,Grassland/Pasture,65,49,75.384615,rasterio.mask; pixel-center (all_touched=False); zero/nodata excluded,176,True,https://nassgeodata.gmu.edu/webservice/nass_data_cache/byfips/CDL_2022_45001.tif,fa5ac1c272510e58ef3d9689a9d922249b265ecb231adc9eaa8a639c71bbfb3c
451623001001267,2022,176,Grassland/Pasture,19,18,94.736842,rasterio.mask; pixel-center (all_touched=False); zero/nodata excluded,176,True,https://nassgeodata.gmu.edu/webservice/nass_data_cache/byfips/CDL_2022_45001.tif,fa5ac1c272510e58ef3d9689a9d922249b265ecb231adc9eaa8a639c71bbfb3c
451623001001281,2022,176,Grassland/Pasture,18,11,61.111111,rasterio.mask; pixel-center (all_touched=False); zero/nodata excluded,176,True,https://nassgeodata.gmu.edu/webservice/nass_data_cache/byfips/CDL_2022_45001.tif,fa5ac1c272510e58ef3d9689a9d922249b265ecb231adc9eaa8a639c71bbfb3c
451623001001285,2022,37,Other Hay/Non Alfalfa,21,18,85.714286,rasterio.mask; pixel-center (all_touched=False); zero/nodata excluded,37,True,https://nassgeodata.gmu.edu/webservice/nass_data_cache/byfips/CDL_2022_45001.tif,fa5ac1c272510e58ef3d9689a9d922249b265ecb231adc9eaa8a639c71bbfb3c
451623001001295,2022,176,Grassland/Pasture,13,8,61.538462,rasterio.mask; pixel-center (all_touched=False); zero/nodata excluded,176,True,https://nassgeodata.gmu.edu/webservice/nass_data_cache/byfips/CDL_2022_45001.tif,fa5ac1c272510e58ef3d9689a9d922249b265ecb231adc9eaa8a639c71bbfb3c
451623001001299,2022,176,Grassland/Pasture,22,14,63.636364,rasterio.mask; pixel-center (all_touched=False); zero/nodata excluded,176,True,https://nassgeodata.gmu.edu/webservice/nass_data_cache/byfips/CDL_2022_45001.tif,fa5ac1c272510e58ef3d9689a9d922249b265ecb231adc9eaa8a639c71bbfb3c
451623001001160,2023,176,Grassland/Pasture,22,12,54.545455,rasterio.mask; pixel-center (all_touched=False); zero/nodata excluded,176,True,https://nassgeodata.gmu.edu/webservice/nass_data_cache/byfips/CDL_2023_45001.tif,b6af9cd8ae8e8a1dba5b729c8ff3b85df344c04930888f2206779dc000b30cee
451623001001187,2023,176,Grassland/Pasture,13,5,38.461538,rasterio.mask; pixel-center (all_touched=False); zero/nodata excluded,37,False,https://nassgeodata.gmu.edu/webservice/nass_data_cache/byfips/CDL_2023_45001.tif,b6af9cd8ae8e8a1dba5b729c8ff3b85df344c04930888f2206779dc000b30cee
451623001001196,2023,37,Other Hay/Non Alfalfa,84,48,57.142857,rasterio.mask; pixel-center (all_touched=False); zero/nodata excluded,37,True,https://nassgeodata.gmu.edu/webservice/nass_data_cache/byfips/CDL_2023_45001.tif,b6af9cd8ae8e8a1dba5b729c8ff3b85df344c04930888f2206779dc000b30cee
451623001001204,2023,176,Grassland/Pasture,15,11,73.333333,rasterio.mask; pixel-center (all_touched=False); zero/nodata excluded,176,True,https://nassgeodata.gmu.edu/webservice/nass_data_cache/byfips/CDL_2023_45001.tif,b6af9cd8ae8e8a1dba5b729c8ff3b85df344c04930888f2206779dc000b30cee
451623001001218,2023,176,Grassland/Pasture,27,14,51.851852,rasterio.mask; pixel-center (all_touched=False); zero/nodata excluded,37,False,https://nassgeodata.gmu.edu/webservice/nass_data_cache/byfips/CDL_2023_45001.tif,b6af9cd8ae8e8a1dba5b729c8ff3b85df344c04930888f2206779dc000b30cee
451623001001219,2023,176,Grassland/Pasture,20,19,95.0,rasterio.mask; pixel-center (all_touched=False); zero/nodata excluded,176,True,https://nassgeodata.gmu.edu/webservice/nass_data_cache/byfips/CDL_2023_45001.tif,b6af9cd8ae8e8a1dba5b729c8ff3b85df344c04930888f2206779dc000b30cee
451623001001224,2023,176,Grassland/Pasture,20,15,75.0,rasterio.mask; pixel-center (all_touched=False); zero/nodata excluded,176,True,https://nassgeodata.gmu.edu/webservice/nass_data_cache/byfips/CDL_2023_45001.tif,b6af9cd8ae8e8a1dba5b729c8ff3b85df344c04930888f2206779dc000b30cee
