year,month,expected_days,valid_days,completeness_pct,is_complete_period,mean_temperature_C,mean_max_temperature_C,mean_min_temperature_C,mean_diurnal_range_C,precipitation_mm,mean_relative_humidity_pct,mean_solar_radiation_kWh_m2_day,hot_day_count,frost_day_count,dry_day_count,heavy_rain_day_count,longest_dry_spell_days
1998,12,31,31,100.0,True,8.297419354838711,14.314516129032258,3.6361290322580655,10.678387096774195,94.68999999999998,78.71032258064517,8.029354838709677,0,10,19,0,7
1999,1,31,31,100.0,True,6.791935483870968,13.320967741935483,1.5687096774193552,11.752258064516129,142.18,83.20451612903224,9.309999999999999,0,13,16,1,4
1999,2,28,28,100.0,True,7.193214285714286,13.569642857142856,1.528571428571429,12.041071428571426,90.82000000000001,80.42642857142856,12.564642857142855,0,13,19,1,7
1999,3,31,31,100.0,True,8.223870967741936,15.173548387096776,1.8351612903225807,13.338387096774191,94.90000000000002,77.02580645161292,16.7258064516129,0,10,20,1,6
1999,4,30,30,100.0,True,16.608333333333334,22.855999999999995,10.723666666666666,12.13233333333333,80.57,77.81566666666667,18.87166666666667,0,0,21,0,6
1999,5,31,31,100.0,True,19.863225806451613,26.509354838709676,13.305806451612902,13.203548387096776,53.960000000000015,69.6558064516129,23.424838709677413,0,0,23,0,5
1999,6,30,30,100.0,True,24.256999999999998,30.988000000000003,18.203333333333333,12.784666666666668,130.60999999999999,68.10933333333334,21.216,3,0,15,0,6
1999,7,31,31,100.0,True,27.633225806451613,34.77322580645161,21.021612903225808,13.751612903225805,82.72000000000001,67.5841935483871,21.55032258064516,16,0,16,0,7
1999,8,31,31,100.0,True,27.96870967741935,35.990645161290324,20.78064516129032,15.209999999999999,63.33,54.679354838709685,22.061935483870972,18,0,23,0,12
1999,9,30,30,100.0,True,22.35866666666666,30.608333333333334,15.245000000000001,15.363333333333332,78.61,56.099666666666664,18.773999999999997,5,0,21,1,10
1999,10,31,31,100.0,True,15.418387096774193,22.08870967741936,9.867741935483874,12.22096774193548,112.25000000000001,75.51967741935485,14.188064516129035,0,0,22,2,11
1999,11,30,30,100.0,True,12.326333333333332,19.546333333333333,6.325,13.221333333333336,77.22000000000001,74.09899999999999,11.453333333333335,0,4,23,0,8
1999,12,31,31,100.0,True,5.9703225806451625,12.848064516129034,0.4370967741935485,12.410967741935485,61.66,77.82129032258065,9.495806451612905,0,15,22,0,10
2000,1,31,31,100.0,True,3.215483870967742,8.81258064516129,-1.4470967741935483,10.259677419354839,134.15,82.32354838709675,8.937741935483869,0,19,19,1,7
2000,2,29,29,100.0,True,7.335172413793102,14.666551724137928,1.0289655172413794,13.637586206896554,53.279999999999994,81.01793103448276,13.616896551724139,0,10,23,0,10
2000,3,31,31,100.0,True,12.44838709677419,19.54387096774193,5.959999999999999,13.583870967741932,112.29000000000002,77.74838709677421,17.123548387096776,0,1,24,1,6
2000,4,30,30,100.0,True,14.306666666666665,20.908000000000005,7.629666666666667,13.278333333333334,96.55000000000001,76.955,18.343666666666667,0,1,18,0,8
2000,5,31,31,100.0,True,22.344838709677422,29.721935483870965,15.313548387096773,14.408387096774193,28.730000000000004,64.68516129032258,23.9041935483871,1,0,23,0,15
2000,6,30,30,100.0,True,26.48,33.81366666666666,19.296666666666667,14.517,72.09,59.68066666666667,23.083333333333332,14,0,13,0,7
2000,7,31,31,100.0,True,27.411612903225798,34.68516129032258,20.707096774193552,13.978064516129034,91.66000000000001,61.36870967741935,21.516129032258064,18,0,16,0,7
